dataset;title;value_type;repeatable;disease_history;medical_health_interv;medication;reproductive_history;early_life;life_habits_behaviours;sociodemographic_charact;physical_environment;social_environment;perception_of_health;anthropometric_structures;body_structures;body_functions;laboratory_measures;data_source;individual_participant_measures;target;period;essence;measure
CLSA DiseaseSymptoms;CCC_HEART_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_PVD_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MEMPB_DCS;text;false;Symptoms and signs involving cognition, perception, emotional state and behaviour;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_ALZH_DCS;text;false;Mental and behavioural disorders;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MS_DCS;text;false;Diseases of the nervous system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_EPIL_DCS;text;false;Diseases of the nervous system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MGRN_DCS;text;false;General symptoms and signs;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_ULCR_DCS;text;false;Diseases of the digestive system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_IBDIBS_DCS;text;false;Diseases of the digestive system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_BOWINC_DCS;text;false;Diseases of the digestive system | Symptoms and signs involving the digestive system and abdomen;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_URIINC_DCS;text;false;Diseases of the digestive system | Symptoms and signs involving the urinary system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CATRCT_DCS;text;false;Diseases of the eye and adnexa;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_GLAUC_DCS;text;false;Diseases of the eye and adnexa;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MACDEG_DCS;text;false;Diseases of the eye and adnexa;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANC_DCS;text;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_DCS;text;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_BR_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_COL_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_SM_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_SNM_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_BL_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_KD_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_LU_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_TH_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_PR_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_OV_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_LK_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_PA_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_NHL_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_OT_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_OTSP_DCS;text;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Open text
CLSA DiseaseSymptoms;CCC_CANTP_DK_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANTP_RF_DCS;boolean;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_ANXI_DCS;text;false;Mental and behavioural disorders;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MOOD_DCS;text;false;Mental and behavioural disorders;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_ALLRG_DCS;text;false;Injury, poisoning and certain other consequences of external causes;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_ALLRG_SP_DCS;text;false;Injury, poisoning and certain other consequences of external causes;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Open text
CLSA DiseaseSymptoms;CCC_BCKP_DCS;text;false;Diseases of the musculoskeletal system and connective tissue;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_KIDN_DCS;text;false;Diseases of the genitourinary system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_OTCCC_DCS;text;false;;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_OTCCC_SP_DCS;text;false;;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Open text
CLSA DiseaseSymptoms;CCC_INF_DCS;boolean;false;Certain infectious and parasitic diseases;Health services utilization;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_DRPNEU_DCS;text;false;Certain infectious and parasitic diseases;Health services utilization;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_DRFLU_DCS;text;false;Certain infectious and parasitic diseases;Health services utilization;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_DRUTI_DCS;text;false;Certain infectious and parasitic diseases;Health services utilization;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_DROT_DCS;text;false;Certain infectious and parasitic diseases;Health services utilization;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_DROTSP_DCS;text;false;Certain infectious and parasitic diseases;Health services utilization;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Open text
CLSA DiseaseSymptoms;DIA_DIAB_DCS;text;false;Endocrine, nutritional and metabolic diseases;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;DIA_TYPE_DCS;text;false;Endocrine, nutritional and metabolic diseases;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;DIA_AGE_DCS;text;false;Endocrine, nutritional and metabolic diseases;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical nominal
CLSA DiseaseSymptoms;DIA_AGE_NB_SP_DCS;integer;false;Endocrine, nutritional and metabolic diseases;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Continuous
CLSA DiseaseSymptoms;DIA_AGE_YR_SP_DCS;integer;false;Endocrine, nutritional and metabolic diseases;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Continuous
CLSA DiseaseSymptoms;DIA_EVPRG_DCS;text;false;Endocrine, nutritional and metabolic diseases;Diagnostic Interventions;;Pregnancy;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;DIA_PRGDIA_DCS;text;false;Endocrine, nutritional and metabolic diseases;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;DIA_MED_DCS;text;false;Endocrine, nutritional and metabolic diseases;;Medication Intake;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Currently;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;DIA_MEDAGE_DCS;text;false;Endocrine, nutritional and metabolic diseases;;Alimentary tract and metabolism;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical nominal
CLSA DiseaseSymptoms;DIA_MEDAGE_NB_DCS;integer;false;Endocrine, nutritional and metabolic diseases;;Alimentary tract and metabolism;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical nominal
CLSA DiseaseSymptoms;DIA_MEDAGE_YR_DCS;integer;false;Endocrine, nutritional and metabolic diseases;;Alimentary tract and metabolism;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical nominal
CLSA DiseaseSymptoms;CCC_CVA_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_CVAAGE_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical nominal
CLSA DiseaseSymptoms;STR_CVAAGE_NB_SP_DCS;integer;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Continuous
CLSA DiseaseSymptoms;STR_CVAAGE_YR_DCS;integer;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Continuous
CLSA DiseaseSymptoms;STR_MED_DCS;text;false;Diseases of the circulatory system;;Medication Intake;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Currently;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_EVRMD_DCS;text;false;Diseases of the circulatory system;;Medication Intake;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_TIA_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_TIAAGE_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical nominal
CLSA DiseaseSymptoms;STR_TIAAGE_NB_DCS;integer;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Continuous
CLSA DiseaseSymptoms;STR_TIAAGE_YR_DCS;integer;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Continuous
CLSA DiseaseSymptoms;STR_TIAMED_DCS;text;false;Diseases of the circulatory system;;Medication Intake;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Currently;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_TIAEVMD_DCS;text;false;Diseases of the circulatory system;;Medication Intake;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CVAFX_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_WEAK_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_WEAK_DUR_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical ordinal
CLSA DiseaseSymptoms;STR_NUMB_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_NUMB_DUR_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical ordinal
CLSA DiseaseSymptoms;STR_VIS_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_VIS_DUR_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical ordinal
CLSA DiseaseSymptoms;STR_NOVIS_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_NOVIS_DUR_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical ordinal
CLSA DiseaseSymptoms;STR_NOUND_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_NOUND_DUR_DCS;text;false;General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical ordinal
CLSA DiseaseSymptoms;STR_NOEXP_DCS;text;false;Symptoms and signs involving speech and voice;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;STR_NOEXP_DUR_DCS;text;false;Symptoms and signs involving speech and voice;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Date/Time/Onset/Duration;Categorical ordinal
CLSA DiseaseSymptoms;TBI_TYP_DCS;text;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_TYP_VH_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_TYP_VHSP_DCS;text;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Open text
CLSA DiseaseSymptoms;TBI_TYP_FL_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_TYP_SPT_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_TYP_SPTSP_DCS;text;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Open text
CLSA DiseaseSymptoms;TBI_TYP_NN_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_TYP_OT_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_TYP_OTSP_DCS;text;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Open text
CLSA DiseaseSymptoms;TBI_TYP_DK_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_TYP_RF_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_NMBR_DCS;text;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_NMBR_NB_DCS;integer;false;Injury, poisoning and certain other consequences of external causes;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Quantity/Frequency;Categorical nominal
CLSA DiseaseSymptoms;TBI_RSLT_DCS;text;false;Injury, poisoning and certain other consequences of external causes | General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_RSLT_DZ_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes | General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_RSLT_NRM_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes | General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_RSLT_KO1_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes | General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;TBI_RSLT_KO20_DCS;boolean;false;Injury, poisoning and certain other consequences of external causes | General symptoms and signs;;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
